Compressed int,Compressed float,Uncompressed R,Uncompressed G,Uncompressed B
0,0,0.009583625,0.009584803,0.010197934
1,0.00392157,0.008837003,0.00598399,0.009407615
2,0.00784314,0.008459181,0.006410214,0.008843388
3,0.01176471,0.008627158,0.00597239,0.009046705
4,0.01568627,0.008416661,0.005904451,0.009041527
5,0.01960784,0.00819817,0.005970806,0.009536186
6,0.02352941,0.008043608,0.006132563,0.009246763
7,0.02745098,0.008989743,0.006737503,0.008939932
8,0.03137255,0.008527145,0.006461318,0.009369752
9,0.03529412,0.008481534,0.007048237,0.009477205
10,0.03921569,0.008680565,0.006584347,0.009855858
11,0.04313725,0.009044759,0.006930348,0.008602427
12,0.04705882,0.008885003,0.006888291,0.010087867
13,0.05098039,0.00954865,0.006619333,0.008907799
14,0.05490196,0.009452836,0.006987665,0.010368466
15,0.05882353,0.009515983,0.007268647,0.010172212
16,0.0627451,0.01030379,0.008152388,0.010287864
17,0.06666667,0.009931068,0.007445101,0.010347842
18,0.07058824,0.010351045,0.007661103,0.010362904
19,0.0745098,0.010349692,0.007711267,0.010776426
20,0.07843137,0.010355404,0.008111312,0.0116492
21,0.08235294,0.010743199,0.008418939,0.010708767
22,0.08627451,0.011044946,0.008809669,0.01144495
23,0.09019608,0.011686204,0.009357802,0.011572525
24,0.09411765,0.011843258,0.009328251,0.012403183
25,0.09803922,0.011227757,0.010353646,0.01184978
26,0.1019608,0.011940838,0.010099716,0.012603499
27,0.1058824,0.012550398,0.01010094,0.012848524
28,0.1098039,0.01340921,0.010351481,0.013210786
29,0.1137255,0.014061051,0.011537329,0.013010013
30,0.1176471,0.013419351,0.011406927,0.014633498
31,0.1215686,0.014777155,0.012517195,0.014631987
32,0.1254902,0.015398537,0.012357804,0.01462566
33,0.1294118,0.015914142,0.012725071,0.015175752
34,0.1333333,0.015788246,0.013963092,0.015887053
35,0.1372549,0.016186332,0.014057179,0.01621808
36,0.1411765,0.01686958,0.014761463,0.016615243
37,0.145098,0.017231613,0.015185785,0.017386376
38,0.1490196,0.017705575,0.016437132,0.017798829
39,0.1529412,0.019061807,0.016486651,0.019374894
40,0.1568627,0.019585562,0.017228358,0.019178112
41,0.1607843,0.020648651,0.017721351,0.020351921
42,0.1647059,0.020477787,0.018533389,0.01982885
43,0.1686275,0.021825592,0.019073734,0.021828093
44,0.172549,0.022274466,0.019860294,0.022241447
45,0.1764706,0.022587569,0.020793358,0.023357055
46,0.1803922,0.024055009,0.022539854,0.024215915
47,0.1843137,0.024793578,0.022989635,0.025243455
48,0.1882353,0.025715878,0.023208359,0.025550584
49,0.1921569,0.026354988,0.023833866,0.026928551
50,0.1960784,0.026995673,0.024818893,0.027267988
51,0.2,0.027607241,0.026102512,0.028435734
52,0.2039216,0.028999841,0.026692553,0.028514792
53,0.2078431,0.030438701,0.027747785,0.03044634
54,0.2117647,0.031395969,0.028931798,0.030051188
55,0.2156863,0.031653109,0.029891777,0.033138505
56,0.2196078,0.033379736,0.031374893,0.03418705
57,0.2235294,0.034982033,0.032244613,0.035223227
58,0.227451,0.035422701,0.032808299,0.037201848
59,0.2313725,0.03689719,0.033689567,0.038033213
60,0.2352941,0.037685015,0.035039126,0.03791344
61,0.2392157,0.039480848,0.036138428,0.039647533
62,0.2431373,0.040787572,0.039307025,0.041458259
63,0.2470588,0.041511719,0.038726856,0.042716202
64,0.2509804,0.043372489,0.041152538,0.044424598
65,0.254902,0.044464089,0.043763365,0.044595387
66,0.2588235,0.045771369,0.043329637,0.046809183
67,0.2627451,0.047174481,0.045234055,0.047612046
68,0.2666667,0.049348939,0.046156578,0.048453324
69,0.2705882,0.050201839,0.0479046,0.05122523
70,0.2745098,0.05022611,0.048176983,0.052596764
71,0.2784314,0.052283322,0.050368111,0.053476873
72,0.2823529,0.054237246,0.051129309,0.055518751
73,0.2862745,0.055271049,0.05293906,0.056808914
74,0.2901961,0.058566417,0.054056106,0.058258259
75,0.2941176,0.058636385,0.056001472,0.06082046
76,0.2980392,0.060700533,0.057084002,0.061152627
77,0.3019608,0.063503078,0.058734552,0.062450444
78,0.3058824,0.065276225,0.060343278,0.064547141
79,0.3098039,0.066578361,0.061984065,0.066229449
80,0.3137255,0.069321891,0.064207187,0.069015703
81,0.3176471,0.069337535,0.065645224,0.069290059
82,0.3215686,0.071643377,0.067644176,0.071097403
83,0.3254902,0.073577942,0.069458029,0.074049985
84,0.3294118,0.074589332,0.071554888,0.075806262
85,0.3333333,0.077830324,0.07343462,0.078580436
86,0.3372549,0.078793544,0.075740424,0.080942709
87,0.3411765,0.081603102,0.077593275,0.082505189
88,0.345098,0.083886277,0.079532196,0.084641104
89,0.3490196,0.086892957,0.081181699,0.08649296
90,0.3529412,0.0875242,0.083178804,0.087585265
91,0.3568627,0.089807428,0.085395352,0.090494756
92,0.3607843,0.092009504,0.088075076,0.092310131
93,0.3647059,0.09356157,0.089748474,0.094180299
94,0.3686275,0.096844134,0.090615616,0.096175639
95,0.372549,0.099222912,0.093311208,0.098398859
96,0.3764706,0.102318724,0.096341687,0.100835148
97,0.3803922,0.103311354,0.098936414,0.103080933
98,0.3843137,0.103481603,0.099487183,0.106079216
99,0.3882353,0.107463063,0.102877135,0.10849072
100,0.3921569,0.110799397,0.105346695,0.111030263
101,0.3960784,0.114237024,0.10756305,0.112491222
102,0.4,0.115408549,0.109617574,0.115742536
103,0.4039216,0.117613343,0.112674706,0.117624105
104,0.4078431,0.119759839,0.115311746,0.119927648
105,0.4117647,0.122208184,0.117647333,0.122592592
106,0.4156863,0.12443462,0.12061464,0.126470545
107,0.4196078,0.129195728,0.123470686,0.129351332
108,0.4235294,0.13220062,0.125892785,0.132350288
109,0.427451,0.135094541,0.126742366,0.133389278
